Id|Name|Report Date|Avg mph|Total volume
7|A1M/9869K|2016-02-01T00:14:00|0|0
7|A1M/9869K|2016-02-01T00:29:00|33|1
7|A1M/9869K|2016-02-01T00:44:00|9|1
7|A1M/9869K|2016-02-01T00:59:00|0|0
7|A1M/9869K|2016-02-01T01:14:00|17|1
7|A1M/9869K|2016-02-01T01:29:00|0|0
7|A1M/9869K|2016-02-01T01:44:00|21|1
7|A1M/9869K|2016-02-01T01:59:00|29|1
7|A1M/9869K|2016-02-01T02:14:00|21|1
7|A1M/9869K|2016-02-01T02:29:00|0|0
7|A1M/9869K|2016-02-01T02:44:00|27|1
7|A1M/9869K|2016-02-01T02:59:00|34|1
7|A1M/9869K|2016-02-01T03:14:00|0|0
7|A1M/9869K|2016-02-01T03:29:00|0|0
7|A1M/9869K|2016-02-01T03:44:00|22|1
7|A1M/9869K|2016-02-01T03:59:00|24|2
7|A1M/9869K|2016-02-01T04:14:00|19|1
7|A1M/9869K|2016-02-01T04:29:00|26|1
7|A1M/9869K|2016-02-01T04:44:00|30|6
7|A1M/9869K|2016-02-01T04:59:00|34|1
7|A1M/9869K|2016-02-01T05:14:00|25|2
7|A1M/9869K|2016-02-01T05:29:00|28|12
7|A1M/9869K|2016-02-01T05:44:00|28|7
7|A1M/9869K|2016-02-01T05:59:00|30|10
7|A1M/9869K|2016-02-01T06:14:00|29|9
7|A1M/9869K|2016-02-01T06:29:00|29|21
7|A1M/9869K|2016-02-01T06:44:00|33|13
7|A1M/9869K|2016-02-01T06:59:00|28|30
7|A1M/9869K|2016-02-01T07:14:00|30|30
7|A1M/9869K|2016-02-01T07:29:00|28|32
7|A1M/9869K|2016-02-01T07:44:00|32|54
7|A1M/9869K|2016-02-01T07:59:00|32|54
7|A1M/9869K|2016-02-01T08:14:00|30|47
7|A1M/9869K|2016-02-01T08:29:00|33|64
7|A1M/9869K|2016-02-01T08:44:00|30|43
7|A1M/9869K|2016-02-01T08:59:00|33|37
7|A1M/9869K|2016-02-01T09:14:00|32|40
7|A1M/9869K|2016-02-01T09:29:00|31|28
7|A1M/9869K|2016-02-01T09:44:00|32|29
7|A1M/9869K|2016-02-01T09:59:00|32|31
7|A1M/9869K|2016-02-01T10:14:00|30|28
7|A1M/9869K|2016-02-01T10:29:00|32|17
7|A1M/9869K|2016-02-01T10:44:00|31|22
7|A1M/9869K|2016-02-01T10:59:00|29|27
7|A1M/9869K|2016-02-01T11:14:00|30|18
7|A1M/9869K|2016-02-01T11:29:00|33|26
7|A1M/9869K|2016-02-01T11:44:00|28|32
7|A1M/9869K|2016-02-01T11:59:00|32|17
7|A1M/9869K|2016-02-01T12:14:00|29|23
